Subject,From,Body
Seeking inputs by 20th April  for review of SRIC rules,Associate Dean Corporate Interaction <adci@iitr.ac.in>,"
 Dear Colleagues, As per the mandate of SRIC rules, these need to be review=
ed periodically to examine the applicability and practical feasibility of t=
heir implementation. The last review of the rules was taken up in 2018. A c=
ommittee has been formed to review the SRIC rules in force and provide its =
recommendations. The committee in its first meeting has deliberated on the =
existing rules and took feedback from the SRIC office on the implementation=
 issues. The members were of the opinion that feedback should be taken from=
 all the stakeholders as a part of creating an enabling environment for all=
. In view of this we request all of you to provide your inputs by=C2=A0 20t=
h April 2023 through the link given below: https://forms.gle/mCxEAsQTEoiwgH=
rR7 The inputs will be forwarded to the committee for their consideration.=
=20

Regards=20

sairam =20
=C2=A0 =20
Sai Ramudu Meka Associate Dean Corporate Interaction (ADCI) Indian Institut=
e of Technology Roorkee Email:adci@iitr.ac.in Phone No. +91 133228 5378=20

"
Swaranjali | Music Section | 13th April,General SecretaryCA <gensec.cult@iitr.ac.in>,"Greetings everyone! 
Music Section is back with Swaranjali after 4 long years. 

Experience the beauty and grandeur of classical music in breathtaking performances. 
Sit back, relax, and let the music transport you to a world of elegance and sophistication. From soaring arias to intricate symphonies, every note will be played with passion and precision, bringing the composer's vision to life. 

Join us for an unforgettable evening of music that will leave you feeling inspired and uplifted! 

Date: 13 April'23 
Time: 6:30 PM 
Venue: MAC Auditorium 

Regards 
Music Section, IITR 
"
Blood Donation Camp || NSS IIT Roorkee,National Service Scheme - NSS IIT Roorkee <nss@iitr.ac.in>,"Dear All,

Warm Greetings from NSS IIT Roorkee!


Team NSS IITR would like to extend a heartfelt invitation to you for our
flagship event, the Blood Donation Camp, scheduled to be organised on 16th
April, 2023 from 9:00 AM to 3:00 PM in IIT Roorkee, Saharanpur Campus. We
would be extremely delighted to have you there.



Abiding by the motto: ""Not for me, but for the Nation"", NSS IIT Roorkee
organises several events for the welfare of the society. We have actively
conducted various events promoting road safety, sustainability, women
empowerment, education and cleanliness among other social causes. Now we
are back with our flagship event, the Blood Donation Camp. We firmly
believe that donating blood is a noble act that can save lives and make a
positive impact on society. Our previous Blood Donation Camps have been
incredibly successful, with a collection of over 1000 units of blood and
it's time for us to set new records. We encourage all the campus residents
to participate in this noble cause and become a part of our efforts to make
a difference in the world.

The details of the camp are:

Date: 16th April 2023

Time: 9:00 AM to 3:00 PM

Venue: IIT Roorkee Saharanpur Campus

Some of the points to note before donating blood:
1. Do not donate blood if you have a fever.
2. Do not donate blood if you have anaemia.
3. Do not donate blood if you have previously donated it in the last three
months.

Everybody willing to donate blood from the Roorkee campus can participate
in the camp by going to the Saharanpur Campus. NSS IIT Roorkee will ensure
traveling and provide lunch to all the donors.

We request all the interested donors to kindly fill out the below form
necessarily so that we can provide you further information regarding travel
and other provisions.

Form: https://forms.gle/oJJdkTxVR5KBzzdZ7

The poster of the camp is attached herewith: Blood Donation Camp
<https://drive.google.com/file/d/1lhWWflTkIBx1LVw5JyN83Mz95P8IgDQq/view>

Looking forward to your active participation.



-- 
Regards
Vedant Meshram
General Secretary
NSS IIT Roorkee

Facebook <https://www.facebook.com/nssiitr/>|Instagram
<https://www.instagram.com/nssiitr/>|Twitter
<https://twitter.com/NSSIITROORKEE>|LinkedIn
<https://www.linkedin.com/company/13174287>
"
You signed up for Linked list contest 1681071638,HackerRank Team <hackers@hackerrankmail.com>,"    HackerRank - Signup for Linked list contest 1681071638  =20



Hello MAKWANA VAIBHAVI LALITKUMAR 22114051,

You signed up for [Linked list contest 1681071638]

The contest has already begun. Get started now and race to the top.

Happy hacking! =20
HackerRank Team

  
"
"Study, Scholarship & Job opportunities in Japan",CDC Office IIT Roorkee <office_cdc@iitr.ac.in>,"


Study, Scholarship & Job opportunities in Japan 
Dear all, 
CDC is organizing an information session on 'Study, Scholarship & Job opportunities in Japan' on April 15 , 2023, Saturday, 11.00 am onwards in association with Embassy of Japan and Japan Foundation . 

Please note the venue is A. P. J. Abdul Kalam Block (LS-103 & LS-104) 





The objective of the session are: 





1. Japan as a destination for Higher Education 


2. How to select Japanese universities. 


3. Application and selection procedure for studying in Japan. 


4. Grants/funding opportunities for education. 


5. Assistance from Embassy of Japan for application and screening procedure 


6. Japanese language proficiency test and its benefits. 


7. Work and internship opportunities. 

This program is of interest to all students from UG, PG, Ph.D., and Integrated programs who wish to work/study in Japan and avail scholarships for the studies. 

The schedule of the interaction programme is as follows: 



11:00-12:00 	

Session by Mr.Yasuhiro Yonehara, the First Secretary, Embassy of Japan 


12:00-12:30 	

Session by Prof. Abhishek about experience in Japan 


13:45-14:45 	

Session by universities 


14:45-14:55 	

QnA session 


14:55-15:25 	

Session by Mr. Taisei Toyomaru, Director, Japan Foundation 


We cordially invite you to be a part of the process. 
Register through: [ https://docs.google.com/forms/d/1EEhozkP_qDUBaCd7pfsJCrGR_W25MRbOXlOk9bu6kTc/edit | https://docs.google.com/forms/d/1EEhozkP_qDUBaCd7pfsJCrGR_W25MRbOXlOk9bu6kTc/editor ] 

or Scan to register : 

Ensure registration at the earliest and be seated by 10:50 sharp. 
Regards 
CDC Office 

"
Joining of new faculty in BSBE,Head Biosciences and Bioengineering <head@bt.iitr.ac.in>,"Dear all,=20


It is my pleasure to introduce the new faculty Dr. Poonam Choudhary, who ha=
s joined the Department of Biosciences and Bioengineering on 20 th M arch 2=
023.=20









Dr. Poonam Choudhary is an accomplished researcher and industrial professio=
nal with extensive experience in algal bioprocess development. She obtained=
 her Ph.D. in 2017 from the Indian Institute of Technology Delhi, where she=
 developed an algal bioreactor for wastewater treatment and the production =
of industrially relevant chemicals. As a post-doctoral fellow, she continue=
d to pursue sustainable process development for specialty chemicals and nut=
raceutical production from microalgae. She subsequently joined Reliance Ind=
ustries Ltd (RIL) as a Manager in their Algae R&D Division, where she was i=
nvolved in several bioprocess development projects, including algae-to-oil,=
 algae-to-protein, and multiproduct biorefinery. Her experience also extend=
ed to downstream technology development for a commercial algal biorefinery =
with a customized effluent treatment and recycle system. Following her tenu=
re at RIL, Dr. Choudhary joined the National Agri-Food Biotechnology Instit=
ute (NABI) as a Scientist, where she briefly worked in the Food and Nutriti=
onal Biotechnology division. Her research and industrial experience in Alga=
l bioprocesses has been featured in several reputed international journals =
such as RSC Sustainable Energy & Fuels, ACS Sustainable Chemistry & Enginee=
ring, Bioresource Technology, Environmental Science and Management and Phot=
osynthesis Research. Her current research interests include Smart Protein, =
Algae functional foods, biological carbon capture and Biomanufacturing.=20

I welcome her and wish every success in her life.=20


Thanks and best wishes!=20

Pravindra=20


**********************************************=20
Prof. Pravindra Kumar, Ph.D.=20
Head=20
Department of Biosciences and Bioengineering=20
Indian Institute of Technology Roorkee=20
Roorkee - 247 667, Uttarakhand, India=20
Phone: 91-1332-285072 (O); 285803(R), Cell (9897168055)=20
Fax: 91-1332-273560=20
E-mail:head@bt.iitr.ac.in, pravindra.kumar@bt.iitr.ernet.in, pravindra.kuma=
r.iitr@gmail.com=20
https://www.iitr.ac.in/~BT/kumarfbs=20

************************************************************=20

"
"April 15, 2023 as teaching day",Assit RegistrarCurriculum <arcurriculum@iitr.ac.in>,"Respected Faculty Members & 
Dear Students 

It is to remind that Apr 15, 2023 (Saturday) is a teaching day for all programmes with Thursday time table. 

Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 

"
IMPORTANT: Advisory Regarding Turnitin Legal Usage,Sanjeev K Sunny <sksunnymgcl@iitr.ac.in>,"Dear Students, 

The Turnitin people have informed us that some papers/theses of other universities have been checked in Turnitin accounts associated with IIT Roorkee. 

This is illegal as per the license agreement and may lead to strict actions . 

Therefore, you are strongly advised not to check the papers/theses of anybody from other institutions/universities. 

Team MGCL 

-- 
Dr. Sanjeev K Sunny 
Deputy Librarian, 
IIT Roorkee, 
Roorkee - 247667 
Ph. 01332 284876 (O) 
"
Advisory to follow COVID Appropriate Behavior,Dean StudentWelfare <dosw@iitr.ac.in>,"Dear Students, 
It is to inform you that COVID-19 cases are rising in the country. It is advised to follow COVID Appropriate Behavior. Please report to the Institute Hospital, if having COVID-19 symptoms ( Fever or chills, Cough, Shortness of breath or difficulty breathing, Fatigue, Muscle or body aches, Headache, New loss of taste or smell, Sore throat). 


[ https://www.iitr.ac.in/~DM/Mukesh_Kumar_Barua | https://www.iitr.ac.in/~DM/Mukesh_Kumar_Barua  ] 
"
"=?utf-8?Q?Technical_session_on_=E2=80=9CBIS_Standa?=
 =?utf-8?Q?rds_on_Switchgear_and_Protection=E2=80=9D?=
 =?utf-8?Q?_on_12th_April,_2023_at_10:30_in?=
 =?utf-8?Q?_RN_508,_A.P.J._ABDUL_KALAM_BLOCK?=",Coordinator BIS <coordinator-bis@iitr.ac.in>,"All Faculty Members and Students=20





It is to inform you that a Technical session is being organized at IIT Roor=
kee (under the aegis of MoU between IIT Roorkee & BIS) as per details given=
 below;=20



Topic : =E2=80=9C BIS Standards on Switchgear and Protection =E2=80=9D=20




Speaker : Shri Rahul Srivastava, M/s R & D Manager, Siemens Ltd.=20

(Member expert, ETD 07, Bureau of Indian Standards)=20



Venue : Room No. 508, A.P.J. ABDUL KALAM BLOCK , Lecture Complex, IIT Roork=
ee=20




Date and Time : 12th April 2023, 10:30-12:00 Hrs=20



Conveners of the Technical session are Prof. Premalata Jena & Prof. Ganesh =
Balu Kumbhar, Department of Electrical Engineering=20



All concerned are cordially invited.=20



Deepak Khare=20

Chair Professor BIS & Coordinator BIS=20




p.s.=20

Copy to: Dean Infrastructure, please forward the information to concerned o=
fficers of Electrical Division as the subject is very useful for them also.=
=20




--=20
Dr. Deepak Khare=20
BIS Chair Professor &=20
Professor (HAG)=20
Department of Water Resources Development & Management,=20
Indian Institute of Technology Roorkee,=20
ROORKEE 247 667, INDIA=20
Phone: (Office) +91+1332-295393 (Res.) +91+1332-285152=20
Cell: +91-9412990808 and +91-8979775124=20
Fax: +91-1332-271073,2735602=20
Email: Coordinator BIS<coordinator-bis@iitr.ac.in>=20
deepak.khare@wr.iitr.ac.in and kharefwt@gmail.com=20

Page: https://www.iitr.ac.in/~WR/kharefwt=20

"
"Notification: Establishment of International Centre of Excellence
 for Dams (ICED)",Establishment Services Wing-A <estba@iitr.ac.in>,"

The establishment of a new centre called =E2=80=98International Centre of E=
xcellence for Dams=E2=80=99 (ICED) is hereby notified.=20



Th is approval has been ratified by the Board of Governors in its 66 th mee=
ting.=20



Sd/-=20

Prashant Garg=20

Registrar=20



Signed copy of bilingual notice is also available at the following link:-=
=20

[ https://channeli.in/noticeboard/notice/9448 | https://channeli.in/noticeb=
oard/notice/9448 ]=20



"
OM: Appointment of Liaison Officer SC/ST,Establishment Services Wing-A <estba@iitr.ac.in>,"

Prof. Arindam Biswas, Department of Architecture & Planning is hereby appointed as Liaison Officer for SC/ST for a period of two years with immediate effect. This will replace the earlier OM No. E.S(A)/13177/E-2281 dated 12.09.2022. 



The sincere services rendered by Prof. Prakash Biswas, Department of Chemical Engineering as Liaison Officer for SC/ST are greatly appreciated and placed on record. 



This is issued with the approval of the Director. 



Sd/- 

Prashant Garg 

Registrar 



Signed copy of bilingual notice is also available at the following link:- 

[ https://channeli.in/noticeboard/notice/9447 | https://channeli.in/noticeboard/notice/9447 ] 



"
Fwd: Inviting Startup Nominations for CGI Greenhouse,Azam Ali Khan <ceo_tides@iitr.ac.in>,"Dear All,

You may consider applying at Clinton Global Initiative as explained in =
the trail mail below.
_________________________________________

Azam Ali Khan
Chief Executive Officer| TIDES Business Incubator
Indian Institute of Technology, Roorkee-247667
Phone:+91-1332-285731
Bio Incubator (O): +91-1332-284419
Bio Incubator (D): +91-1332-284420                                       =
           =20
Mob.: +91-9711190133
tides.iitr.ac.in=20





> Begin forwarded message:
>=20
> From: Nish Acharya <nish@equalinnovation.com>
> Subject: Inviting Startup Nominations for CGI Greenhouse
> Date: 8 April 2023 at 12:55:24 AM IST
>=20
> =20
>=20
>=20
>=20
>=20
> Dear Colleagues:=20
>=20
> The Clinton Global Initiative (CGI) =
<https://www.clintonfoundation.org/programs/leadership-public-service/clin=
ton-global-initiative/> is one of the world=E2=80=99s leading forums =
bringing together world leaders, Fortune 500 executives, leading =
philanthropists, NGOs and investors. This year, Equal Innovation =
<https://equalinnovation.com/> is proud to partner with the Clinton =
Global Initiative to identify startups for the CGI Greenhouse, a unique =
showcase for path-breaking entrepreneurs at CGI in the areas of =
inclusive economy, climate resilience and global health. Past =
participants have secured funding from leading VCs and launched =
partnerships with global organizations like the UN.=20
>=20
> We invite you, as a trusted innovation and entrepreneurship partner to =
nominate startups in your program, or graduates, that may qualify for =
CGI. The company/NGO should fall within CGI pillars of inclusive =
economic growth, climate resilience, health equity or =
refugee/humanitarian support. Secondly, the company/NGO should have =
raised some capital - Seed/Series A, major government grant or major =
philanthropic partnership.=20
>=20
> Equal Innovation will conduct a quick review of the company and then =
extend a formal application to them. Nominated companies must then =
submit their application by May 15, and CGI will inform you if/when any =
of the companies you nominate move forward.  Selected startups will be =
invited to present at the Clinton Global Initiative in September in New =
York, including airfare and hotel expenses.
>=20
> The deadline to submit nominations is April 16, 2023. Please send us =
your startup nominations here <https://forms.office.com/r/wSzM4u8GHb/>.=20=

>=20
> I=E2=80=99m available to chat further if you have any questions, big =
or small. Thank you in advance for your time!=20
>=20
> Regards,=20
> Nish Acharya=20
> Equal Innovation

"
